name,description
Magical Leaf,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Special
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Magma Storm,"Power: 100.0
Acc.: 75
PP: 5.0
Damage Class: Special
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Magnet Bomb,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Physical
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Magnet Rise,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User becomes immune to Ground-type moves for 5 turns.
Prob. (%): nan
"
Magnetic Flux,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises Defense and Sp. Defense of Plus/Minus Pokémon.
Prob. (%): nan
"
Magnitude,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: Hits with random power.
Prob. (%): nan
"
Malicious Moonsault,"Power: 180.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Incineroar-exclusive Z-Move.
Prob. (%): nan
"
Mat Block,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects teammates from damaging moves.
Prob. (%): nan
"
Max Airstream,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Flying type Dynamax move. Raises the team's Speed.
Prob. (%): 100.0
"
Max Darkness,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Dark type Dynamax move. Lowers the target's Special Defense.
Prob. (%): 100.0
"
Max Flare,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Fire type Dynamax move. Summons harsh sunlight.
Prob. (%): nan
"
Max Flutterby,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Bug type Dynamax move. Lowers the target's Special Attack.
Prob. (%): 100.0
"
Max Geyser,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Water type Dynamax move. Summons heavy rain.
Prob. (%): nan
"
Max Guard,"Power: nan
Acc.: nan
PP: nan
Damage Class: Status
Effect: Status category Dynamax move. Protects the user.
Prob. (%): nan
"
Max Hailstorm,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Ice type Dynamax move. Summons hail.
Prob. (%): nan
"
Max Knuckle,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Fighting type Dynamax move. Increases the team's Attack.
Prob. (%): 100.0
"
Max Lightning,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Electric type Dynamax move. Summons Electric Terrain.
Prob. (%): nan
"
Max Mindstorm,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Psychic type Dynamax move. Summons Psychic Terrain.
Prob. (%): nan
"
Max Ooze,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Poison type Dynamax move. Increases the team's Special Attack.
Prob. (%): 100.0
"
Max Overgrowth,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Grass type Dynamax move. Summons Grassy Terrain.
Prob. (%): nan
"
Max Phantasm,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Ghost type Dynamax move. Lowers the target's Defense.
Prob. (%): 100.0
"
Max Quake,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Ground type Dynamax move. Increases the team's Special Defense.
Prob. (%): 100.0
"
Max Rockfall,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Rock type Dynamax move. Summons a sandstorm.
Prob. (%): nan
"
Max Starfall,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Fairy type Dynamax move. Summons Misty Terrain.
Prob. (%): nan
"
Max Steelspike,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Steel type Dynamax move. Raises the team's Defense.
Prob. (%): 100.0
"
Max Strike,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Normal type Dynamax move. Lowers the target's Speed.
Prob. (%): 100.0
"
Max Wyrmwind,"Power: nan
Acc.: nan
PP: nan
Damage Class: Physical
Effect: Dragon type Dynamax move. Lowers the target's Attack.
Prob. (%): 100.0
"
Me First,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: User copies the opponent's attack with 1.5× power.
Prob. (%): nan
"
Mean Look,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Opponent cannot flee or switch.
Prob. (%): nan
"
Meditate,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Raises user's Attack.
Prob. (%): nan
"
Mega Drain,"Power: 40.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Mega Kick,"Power: 120.0
Acc.: 75
PP: 5.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Mega Punch,"Power: 80.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Megahorn,"Power: 120.0
Acc.: 85
PP: 10.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Memento,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: User faints, sharply lowers opponent's Attack and Special Attack.
Prob. (%): nan
"
Menacing Moonraze Maelstrom,"Power: 200.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Lunala-exclusive Z-Move.
Prob. (%): nan
"
Metal Burst,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Deals damage equal to 1.5x opponent's attack.
Prob. (%): nan
"
Metal Claw,"Power: 50.0
Acc.: 95
PP: 35.0
Damage Class: Physical
Effect: May raise user's Attack.
Prob. (%): 10.0
"
Metal Sound,"Power: nan
Acc.: 85
PP: 40.0
Damage Class: Status
Effect: Sharply lowers opponent's Special Defense.
Prob. (%): nan
"
Meteor Assault,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: User must recharge next turn.
Prob. (%): nan
"
Meteor Beam,"Power: 120.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn.
Prob. (%): nan
"
Meteor Mash,"Power: 90.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: May raise user's Attack.
Prob. (%): 20.0
"
Metronome,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User performs almost any move in the game at random.
Prob. (%): nan
"
Milk Drink,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half its max HP.
Prob. (%): nan
"
Mimic,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Copies the opponent's last move.
Prob. (%): nan
"
Mind Blown,"Power: 150.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: User receives recoil damage.
Prob. (%): nan
"
Mind Reader,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: User's next attack is guaranteed to hit.
Prob. (%): nan
"
Minimize,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Sharply raises user's Evasiveness.
Prob. (%): nan
"
Miracle Eye,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Resets opponent's Evasiveness, removes Dark's Psychic immunity.
Prob. (%): nan
"
Mirror Coat,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: When hit by a Special Attack, user strikes back with 2x power.
Prob. (%): nan
"
Mirror Move,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: User performs the opponent's last move.
Prob. (%): nan
"
Mirror Shot,"Power: 65.0
Acc.: 85
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 30.0
"
Mist,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: User's stats cannot be changed for a period of time.
Prob. (%): nan
"
Mist Ball,"Power: 70.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May lower opponent's Special Attack.
Prob. (%): 50.0
"
Misty Explosion,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Power increases on Misty Terrain.
Prob. (%): nan
"
Misty Terrain,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the field from status conditions for 5 turns.
Prob. (%): nan
"
Moonblast,"Power: 95.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May lower opponent's Special Attack.
Prob. (%): 30.0
"
Moongeist Beam,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Ignores the target's ability.
Prob. (%): nan
"
Moonlight,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: User recovers HP. Amount varies with the weather.
Prob. (%): nan
"
Morning Sun,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: User recovers HP. Amount varies with the weather.
Prob. (%): nan
"
Mud Bomb,"Power: 65.0
Acc.: 85
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 30.0
"
Mud Shot,"Power: 55.0
Acc.: 95
PP: 15.0
Damage Class: Special
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Mud Slap,"Power: 20.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Lowers opponent's Accuracy.
Prob. (%): 100.0
"
Mud Sport,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Weakens the power of Electric-type moves.
Prob. (%): nan
"
Muddy Water,"Power: 90.0
Acc.: 85
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 30.0
"
Multi Attack,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Type matches Memory item held.
Prob. (%): nan
"
Mystical Fire,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Lowers opponent's Special Attack.
Prob. (%): 100.0
"
Nasty Plot,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Special Attack.
Prob. (%): nan
"
Natural Gift,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Power and type depend on the user's held berry.
Prob. (%): nan
"
Nature Power,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Uses a certain move based on the current terrain.
Prob. (%): nan
"
Nature'S Madness,"Power: nan
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: Halves the foe's HP.
Prob. (%): nan
"
Needle Arm,"Power: 60.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Night Daze,"Power: 85.0
Acc.: 95
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 40.0
"
Night Shade,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Inflicts damage equal to user's level.
Prob. (%): nan
"
Night Slash,"Power: 70.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Nightmare,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: The sleeping opponent loses 25% of its max HP each turn.
Prob. (%): nan
"
No Retreat,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Raises all stats but user cannot switch out.
Prob. (%): 100.0
"
Noble Roar,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Status
Effect: Lowers opponent's Attack and Special Attack.
Prob. (%): 100.0
"
Nuzzle,"Power: 20.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Paralyzes opponent.
Prob. (%): 100.0
"
Oblivion Wing,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: User recovers most of the HP inflicted on opponent.
Prob. (%): nan
"
Obstruct,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Protects the user and sharply lowers Defence on contact.
Prob. (%): nan
"
Oceanic Operetta,"Power: 195.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Primarina-exclusive Z-Move.
Prob. (%): nan
"
Octazooka,"Power: 65.0
Acc.: 85
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 50.0
"
Octolock,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out.
Prob. (%): nan
"
Odor Sleuth,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.
Prob. (%): nan
"
Ominous Wind,"Power: 60.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May raise all user's stats at once.
Prob. (%): 10.0
"
Origin Pulse,"Power: 110.0
Acc.: 85
PP: 10.0
Damage Class: Special
Effect: Hits all adjacent opponents.
Prob. (%): nan
"
Outrage,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User attacks for 2-3 turns but then becomes confused.
Prob. (%): nan
"
Overdrive,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Overheat,"Power: 130.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Sharply lowers user's Special Attack.
Prob. (%): 100.0
"
Pain Split,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: The user's and opponent's HP becomes the average of both.
Prob. (%): nan
"
Parabolic Charge,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Parting Shot,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Attack and Special Attack then switches out.
Prob. (%): 100.0
"
Pay Day,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: A small amount of money is gained after the battle resolves.
Prob. (%): nan
"
Payback,"Power: 50.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power doubles if the user was attacked first.
Prob. (%): nan
"
Peck,"Power: 35.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Perish Song,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Any Pokémon in play when this attack is used faints in 3 turns.
Prob. (%): nan
"
Petal Blizzard,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Hits all adjacent Pokémon.
Prob. (%): nan
"
Petal Dance,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: User attacks for 2-3 turns but then becomes confused.
Prob. (%): nan
"
Phantom Force,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Disappears on first turn, attacks on second. Can strike through Protect/Detect.
Prob. (%): nan
"
Photon Geyser,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Uses Attack or Special Attack stat, whichever is higher.
Prob. (%): nan
"
Pika Papow,"Power: nan
Acc.: ∞
PP: 20.0
Damage Class: Special
Effect: Power increases when player's bond is stronger.
Prob. (%): nan
"
Pin Missile,"Power: 25.0
Acc.: 95
PP: 20.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Plasma Fists,"Power: 100.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Changes Normal-type moves to Electric-type moves.
Prob. (%): nan
"
Play Nice,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Attack. Always hits.
Prob. (%): 100.0
"
Play Rough,"Power: 90.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: May lower opponent's Attack.
Prob. (%): 10.0
"
Pluck,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: If the opponent is holding a berry, its effect is stolen by user.
Prob. (%): nan
"
Poison Fang,"Power: 50.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May badly poison opponent.
Prob. (%): 50.0
"
Poison Gas,"Power: nan
Acc.: 90
PP: 40.0
Damage Class: Status
Effect: Poisons opponent.
Prob. (%): nan
"
Poison Jab,"Power: 80.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: May poison the opponent.
Prob. (%): 30.0
"
Poison Powder,"Power: nan
Acc.: 75
PP: 35.0
Damage Class: Status
Effect: Poisons opponent.
Prob. (%): nan
"
Poison Sting,"Power: 15.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: May poison the opponent.
Prob. (%): 30.0
"
Poison Tail,"Power: 50.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: High critical hit ratio. May poison opponent.
Prob. (%): 10.0
"
Pollen Puff,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Deals damage to opponent or restores HP of teammate.
Prob. (%): nan
"
Poltergeist,"Power: 110.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: Fails if the target doesn’t have an item.
Prob. (%): nan
"
Pound,"Power: 40.0
Acc.: 100
PP: 35.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Powder,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Damages Pokémon using Fire type moves.
Prob. (%): nan
"
Powder Snow,"Power: 40.0
Acc.: 100
PP: 25.0
Damage Class: Special
Effect: May freeze opponent.
Prob. (%): 10.0
"
Power Gem,"Power: 80.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Power Split,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Averages Attack and Special Attack with the target.
Prob. (%): nan
"
Power Swap,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User and opponent swap Attack and Special Attack.
Prob. (%): nan
"
Power Trick,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User's own Attack and Defense switch.
Prob. (%): nan
"
Power Trip,"Power: 20.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The user boasts its strength and attacks the target. The more the user's stats are raised, the greater the move's power.
Prob. (%): nan
"
Power Up Punch,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Raises Attack.
Prob. (%): 100.0
"
Power Whip,"Power: 120.0
Acc.: 85
PP: 10.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Precipice Blades,"Power: 120.0
Acc.: 85
PP: 10.0
Damage Class: Physical
Effect: Hits all adjacent opponents.
Prob. (%): nan
"
Present,"Power: nan
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: Either deals damage or heals.
Prob. (%): nan
"
Prismatic Laser,"Power: 160.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.
Prob. (%): nan
"
Protect,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the user, but may fail if used consecutively.
Prob. (%): nan
"
Psybeam,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 10.0
"
Psych Up,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Copies the opponent's stat changes.
Prob. (%): nan
"
Psychic,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Psychic Fangs,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.
Prob. (%): nan
"
Psychic Terrain,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Prevents priority moves from being used for 5 turns.
Prob. (%): nan
"
Psycho Boost,"Power: 140.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Sharply lowers user's Special Attack.
Prob. (%): 100.0
"
Psycho Cut,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Psycho Shift,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Transfers user's status condition to the opponent.
Prob. (%): nan
"
Psyshock,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Inflicts damage based on the target's Defense, not Special Defense.
Prob. (%): nan
"
Psystrike,"Power: 100.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Inflicts damage based on the target's Defense, not Special Defense.
Prob. (%): nan
"
Psywave,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Inflicts damage 50-150% of user's level.
Prob. (%): nan
"
Pulverizing Pancake,"Power: 210.0
Acc.: nan
PP: 1.0
Damage Class: Physical
Effect: Snorlax-exclusive Normal type Z-Move.
Prob. (%): nan
"
Punishment,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Power increases when opponent's stats have been raised.
Prob. (%): nan
"
Purify,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: The user heals the target's status condition. If the move succeeds, it also restores the user's own HP.
Prob. (%): nan
"
Pursuit,"Power: 40.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Double power if the opponent is switching out.
Prob. (%): nan
"
Pyro Ball,"Power: 120.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: May burn opponent.
Prob. (%): 10.0
"
Quash,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Makes the target act last this turn.
Prob. (%): nan
"
Quick Attack,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Quick Guard,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Protects the user's team from high-priority moves.
Prob. (%): nan
"
Quiver Dance,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Special Attack, Special Defense and Speed.
Prob. (%): nan
"
Rage,"Power: 20.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Raises user's Attack when hit.
Prob. (%): nan
"
Rage Powder,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Forces attacks to hit user, not team-mates.
Prob. (%): nan
"
Rain Dance,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Makes it rain for 5 turns.
Prob. (%): nan
"
Rapid Spin,"Power: 50.0
Acc.: 100
PP: 40.0
Damage Class: Physical
Effect: Raises user's Speed and removes entry hazards and trap move effects.
Prob. (%): 100.0
"
Razor Leaf,"Power: 55.0
Acc.: 95
PP: 25.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Razor Shell,"Power: 75.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 50.0
"
Razor Wind,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Charges on first turn, attacks on second. High critical hit ratio.
Prob. (%): nan
"
Recover,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half its max HP.
Prob. (%): nan
"
Recycle,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User's used hold item is restored.
Prob. (%): nan
"
Reflect,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Halves damage from Physical attacks for 5 turns.
Prob. (%): nan
"
Reflect Type,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: User becomes the target's type.
Prob. (%): nan
"
Refresh,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Cures paralysis, poison, and burns.
Prob. (%): nan
"
Relic Song,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May put the target to sleep.
Prob. (%): 10.0
"
Rest,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User sleeps for 2 turns, but user is fully healed.
Prob. (%): nan
"
Retaliate,"Power: 70.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Inflicts double damage if a teammate fainted on the last turn.
Prob. (%): nan
"
Return,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Power increases with higher Friendship.
Prob. (%): nan
"
Revelation Dance,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Type changes based on Oricorio's form.
Prob. (%): nan
"
Revenge,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power increases if user was hit first.
Prob. (%): nan
"
Reversal,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The lower the user's HP, the higher the power.
Prob. (%): nan
"
Rising Voltage,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Power doubles on Electric Terrain.
Prob. (%): nan
"
Roar,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: In battles, the opponent switches. In the wild, the Pokémon runs.
Prob. (%): nan
"
Roar Of Time,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User must recharge next turn.
Prob. (%): nan
"
Rock Blast,"Power: 25.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Rock Climb,"Power: 90.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: May confuse opponent.
Prob. (%): 20.0
"
Rock Polish,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Sharply raises user's Speed.
Prob. (%): nan
"
Rock Slide,"Power: 75.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Rock Smash,"Power: 40.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 50.0
"
Rock Throw,"Power: 50.0
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Rock Tomb,"Power: 60.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Rock Wrecker,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: User must recharge next turn.
Prob. (%): nan
"
Role Play,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User copies the opponent's Ability.
Prob. (%): nan
"
Rolling Kick,"Power: 60.0
Acc.: 85
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Rollout,"Power: 30.0
Acc.: 90
PP: 20.0
Damage Class: Physical
Effect: Doubles in power each turn for 5 turns.
Prob. (%): nan
"
Roost,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half of its max HP and loses the Flying type temporarily.
Prob. (%): nan
"
Rototiller,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Raises Attack and Special Attack of Grass-types.
Prob. (%): 100.0
"
Round,"Power: 60.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Power increases if teammates use it in the same turn.
Prob. (%): nan
"
Sacred Fire,"Power: 100.0
Acc.: 95
PP: 5.0
Damage Class: Physical
Effect: May burn opponent.
Prob. (%): 50.0
"
Sacred Sword,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Ignores opponent's stat changes.
Prob. (%): nan
"
Safeguard,"Power: nan
Acc.: nan
PP: 25.0
Damage Class: Status
Effect: The user's party is protected from status conditions.
Prob. (%): nan
"
Sand Attack,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Lowers opponent's Accuracy.
Prob. (%): nan
"
Sand Tomb,"Power: 35.0
Acc.: 85
PP: 15.0
Damage Class: Physical
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Sandstorm,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Creates a sandstorm for 5 turns.
Prob. (%): nan
"
