pokemonName,abilityName
Salandit,Toxic
Salazzle,Baneful Bunker
Stufful,Nature Power
Bewear,Snore
Bounsweet,Grav Apple
Steenee,Wood Hammer
Tsareena,Trop Kick
Comfey,G-Max Finale
Oranguru,Foresight
Passimian,Meteor Assault
Wimpod,Tail Glow
Golisopod,Twineedle
Sandygast,Nightmare
Palossand,Shadow Force
Pyukumuku,Waterfall
Type: Null,Headbutt
Silvally,Spike Cannon
Minior Meteor Form,Meteor Beam
Minior Core Form,Max Rockfall
Komala,Transform
Turtonator,Flare Blitz
Togedemaru,Zippy Zap
Mimikyu,Moongeist Beam
Bruxish,Max Geyser
Drampa,Covet
Dhelmise,Spectral Thief
Jangmo-o,Clangorous Soulblaze
Hakamo-o,Eternabeam
Kommo-o,Clangorous Soul
Tapu Koko,Zing Zap
Tapu Lele,Psycho Cut
Tapu Bulu,Leaf Blade
Tapu Fini,Water Spout
Cosmog,Telekinesis
Cosmoem,Confusion
Solgaleo,Hyperspace Hole
Lunala,Magic Room
Nihilego,Sandstorm
Buzzwole,Infestation
Pheromosa,First Impression
Xurkitree,Pika Papow
Celesteela,G-Max Meltdown
Kartana,Horn Leech
Guzzlord,Switcheroo
Dusk Mane Necrozma,Rest
Necrozma,Mist Ball
Dawn Wings Necrozma,Psycho Shift
Ultra Necrozma,Confusion
Magearna,King'S Shield
Marshadow,Focus Blast
Poipole,Toxic Thread
Naganadel,Venom Drench
Stakataka,Rollout
Blacephalon,Flame Charge
Zeraora,Plasma Fists
Meltan,Autotomize
Melmetal Gigantamax,Gyro Ball
Melmetal,Metal Claw
Grookey,Grassy Glide
Thwackey,Leaf Tornado
Rillaboom Gigantamax,Leaf Tornado
Rillaboom,Jungle Healing
Scorbunny,Burning Jealousy
Raboot,Eruption
Cinderace Gigantamax,Shell Trap
Cinderace,Shell Trap
Sobble,Surf
Drizzile,Flip Turn
Inteleon Gigantamax,Water Sport
Inteleon,Soak
Skwovet,Splash
Greedent,Guillotine
Rookidee,Dragon Ascent
Corvisquire,Fly
Corviknight,Hurricane
Corviknight Gigantamax,Air Cutter
Blipbug,Silver Wind
Dottler,Sticky Web
Orbeetle,Twineedle
Orbeetle Gigantamax,Rage Powder
Nickit,Flatter
Thievul,Embargo
Gossifleur,Solar Blade
Eldegoss,Grassy Terrain
Wooloo,Swagger
Dubwool,Techno Blast
Chewtle,Clamp
Drednaw Gigantamax,Withdraw
Drednaw,Water Pledge
Yamper,Thunder
Boltund,Nuzzle
Rolycoly,Rock Tomb
Carkol,Wide Guard
Coalossal Gigantamax,Sandstorm
Coalossal,Sandstorm
Applin,Petal Dance
Flapple,Bullet Seed
Flapple Gigantamax,Grass Pledge
Appletun,Aromatherapy
Appletun Gigantamax,Trop Kick
Silicobra,Bulldoze
Sandaconda Gigantamax,High Horsepower
Sandaconda,Max Quake
Cramorant,Chatter
Arrokuda,Clamp
Barraskewda,Scald
Toxel,Zap Cannon
Toxtricity Amped Form,Electro Ball
Toxtricity Low Key Form,Catastropika
Sizzlipede,G-Max Centiferno
Centiskorch Gigantamax,Flame Charge
Centiskorch,Flare Blitz
Clobbopus,Force Palm
Grapploct,Close Combat
Sinistea,Shadow Bone
Polteageist,Max Phantasm
Hatenna,Healing Wish
Hattrem,Imprison
Hatterene,Guard Swap
Hatterene Gigantamax,Magic Coat
Impidimp,Obstruct
Morgrem,Knock Off
Grimmsnarl Gigantamax,Switcheroo
Grimmsnarl,Punishment
Obstagoon,Thief
Perrserker,Gyro Ball
Cursola,Night Shade
Sirfetch'd,Karate Chop
Mr. Rime,Freezy Frost
Runerigus,Land'S Wrath
Milcery,Fairy Lock
Alcremie,Strange Steam
Alcremie Gigantamax,Fairy Wind
Falinks,Mat Block
Pincurchin,Charge
Snom,Max Hailstorm
Frosmoth,Icicle Spear
Stonjourner,G-Max Volcalith
Eiscue Noice Face,Ice Punch
Eiscue Ice Face,Freeze Dry
Indeedee Female,Expanding Force
Indeedee Male,Future Sight
Morpeko Hangry Mode,Aura Wheel
Morpeko Full Belly Mode,Discharge
Cufant,Searing Sunraze Smash
Copperajah Gigantamax,Gyro Ball
Copperajah,Smart Strike
Dracozolt,Electrify
Arctozolt,Thunder Shock
Dracovish,Clamp
Arctovish,Waterfall
Duraludon,Iron Head
Duraludon Gigantamax,Smart Strike
Dreepy,Dragon Claw
Drakloak,Breaking Swipe
Dragapult,Spacial Rend
Zacian Hero of Many Battles,G-Max Smite
Zacian Crowned Sword,Fairy Wind
Zamazenta Crowned Shield,Submission
Zamazenta Hero of Many Battles,Revenge
Eternatus Eternamax,Poison Powder
Eternatus,Baneful Bunker
Kubfu,Karate Chop
Urshifu (Single Strike) Gigantamax,Seismic Toss
Urshifu (Rapid Strike) Gigantamax,Aura Sphere
Urshifu Single Strike Style,Octolock
Urshifu Rapid Strike Style,Seismic Toss
Zarude,Hyperspace Fury
Regieleki,Shock Wave
Regidrago,Clanging Scales
Glastrier,G-Max Resonance
Spectrier,G-Max Terror
Calyrex,Genesis Supernova
Calyrex Shadow Rider,Prismatic Laser
Calyrex Ice Rider,Healing Wish
Bulbasaur,Forest'S Curse
Ivysaur,Bullet Seed
Venusaur,Wood Hammer
Mega Venusaur,Leaf Tornado
Venusaur Gigantamax,G-Max Sweetness
Charmander,Shell Trap
Charmeleon,Burning Jealousy
Mega Charizard Y,Heat Wave
Charizard Gigantamax,Mind Blown
Mega Charizard X,Fire Fang
Charizard,Burn Up
Squirtle,Crabhammer
Wartortle,Bouncy Bubble
Blastoise Gigantamax,Fishious Rend
Blastoise,G-Max Stonesurge
Mega Blastoise,Oceanic Operetta
Caterpie,Max Flutterby
Metapod,Fury Cutter
Butterfree Gigantamax,Struggle Bug
Butterfree,Pin Missile
Weedle,Signal Beam
Kakuna,First Impression
Beedrill,Infestation
Mega Beedrill,U Turn
Pidgey,Trump Card
Pidgeotto,Protect
Pidgeot,Wrap
Mega Pidgeot,Hyper Fang
Rattata,Strength
Alolan Rattata,Embargo
Raticate,Wring Out
Alolan Raticate,G-Max One Blow
Spearow,Rock Climb
Fearow,Swallow
Ekans,Smog
Arbok,Gunk Shot
Pikachu Gigantamax,Nuzzle
Pikachu,Pika Papow
Partner Pikachu,Shock Wave
Alolan Raichu,Thunder Punch
Raichu,Shock Wave
Alolan Sandshrew,G-Max Resonance
Sandshrew,Scorching Sands
Sandslash,Spikes
Alolan Sandslash,Triple Axel
Nidoran♀,Venoshock
Nidorina,Purify
Nidoqueen,Toxic Thread
Nidoran♂,Poison Fang
Nidorino,Belch
Nidoking,Baneful Bunker
Clefairy,Geomancy
Clefable,Play Rough
Vulpix,Inferno
Alolan Vulpix,Avalanche
Ninetales,Eruption
Alolan Ninetales,Ice Hammer
Jigglypuff,Max Guard
Wigglytuff,Lucky Chant
Zubat,Smog
Golbat,Clear Smog
Oddish,Snap Trap
Gloom,Apple Acid
Vileplume,Grav Apple
Paras,X Scissor
Parasect,U Turn
Venonat,Heal Order
Venomoth,Tail Glow
Alolan Diglett,Bone Club
Diglett,Land'S Wrath
Alolan Dugtrio,Mud Slap
Dugtrio,Bulldoze
Meowth,G-Max Cuddle
Alolan Meowth,Thief
Galarian Meowth,Mirror Shot
Meowth Gigantamax,Tearful Look
Persian,Metronome
Alolan Persian,Fiery Wrath
Psyduck,Snipe Shot
Golduck,Crabhammer
Mankey,Detect
Primeape,Coaching
Hisuian Growlithe,Sunny Day
Growlithe,Burn Up
Hisuian Arcanine,G-Max Centiferno
Arcanine,Fire Blast
Poliwag,Water Spout
Poliwhirl,Muddy Water
Poliwrath,Flip Turn
Abra,Freezing Glare
Kadabra,Stored Power
Alakazam,Zen Headbutt
Mega Alakazam,Psybeam
Machop,Force Palm
Machoke,Seismic Toss
Machamp Gigantamax,Low Sweep
Machamp,Low Sweep
Bellsprout,Wood Hammer
Weepinbell,Stun Spore
Victreebel,Vine Whip
Tentacool,Bouncy Bubble
Tentacruel,Bubble Beam
Geodude,Rollout
Alolan Geodude,Accelerock
Graveler,Rock Tomb
Alolan Graveler,Stealth Rock
Golem,Diamond Storm
Alolan Golem,Power Gem
Ponyta,Ember
Galarian Ponyta,Heal Pulse
Rapidash,Fire Punch
Galarian Rapidash,Genesis Supernova
Galarian Slowpoke,Agility
Slowpoke,Brine
Mega Slowbro,Steam Eruption
Galarian Slowbro,Sludge
Slowbro,Sparkling Aria
Magnemite,Bolt Beak
Magneton,Electric Terrain
Farfetch'd,Crush Claw
Galarian Farfetch'd,Reversal
Doduo,Celebrate
Dodrio,Hyper Voice
Seel,Bubble
Dewgong,Surging Strikes
Grimer,Gastro Acid
Alolan Grimer,Sludge
Alolan Muk,Toxic
Muk,Sludge Wave
Shellder,Surf
Cloyster,Octazooka
Gastly,Nightmare
Haunter,Poltergeist
Gengar,Phantom Force
Gengar Gigantamax,Ominous Wind
Mega Gengar,Nightmare
Onix,Rock Blast
Drowzee,Hyperspace Hole
Hypno,Expanding Force
Krabby,Splishy Splash
Kingler Gigantamax,Water Spout
Kingler,Water Sport
Hisuian Voltorb,Stoked Sparksurfer
Voltorb,Buzzy Buzz
Hisuian Electrode,Zing Zap
Electrode,Magnetic Flux
Exeggcute,Forest'S Curse
Alolan Exeggutor,Grass Pledge
Exeggutor,Max Overgrowth
Cubone,Drill Run
Alolan Marowak,Fire Blast
Marowak,Earth Power
Hitmonlee,Triple Kick
Hitmonchan,Revenge
Lickitung,Struggle
Koffing,Max Ooze
Weezing,Purify
Galarian Weezing,Poison Jab
Rhyhorn,Stomping Tantrum
Rhydon,Bulldoze
Chansey,Helping Hand
Tangela,Solar Beam
Kangaskhan,Milk Drink
Mega Kangaskhan,Pain Split
Horsea,Water Spout
Seadra,Brine
Goldeen,Bubble
Seaking,Bouncy Bubble
Staryu,Water Gun
Starmie,Fishious Rend
Mime Galarian Mr. Mime,Ice Shard
Mr. Mime,Light Screen
Scyther,X Scissor
Jynx,Ice Fang
Electabuzz,Thunder Shock
Magmar,Blaze Kick
Mega Pinsir,Pollen Puff
Pinsir,Twineedle
Tauros,Frustration
Magikarp,Water Pulse
Mega Gyarados,Bubble Beam
Gyarados,G-Max Rapid Flow
Lapras Gigantamax,Razor Shell
Lapras,Water Spout
Ditto,Hyper Beam
Partner Eevee,Tackle
Eevee Gigantamax,Mega Kick
Eevee,Swallow
Vaporeon,G-Max Stonesurge
Jolteon,Buzzy Buzz
Flareon,Fire Punch
Porygon,Teeter Dance
Omanyte,Stone Edge
Omastar,Meteor Beam
Kabuto,Rock Tomb
Kabutops,Tar Shot
Aerodactyl,Splintered Stormshards
Mega Aerodactyl,Rock Polish
Snorlax Gigantamax,Crush Claw
Snorlax,Frustration
Galarian Articuno,Freezing Glare
Articuno,Ice Beam
Galarian Zapdos,Submission
Zapdos,Parabolic Charge
Galarian Moltres,Feint Attack
Moltres,V Create
Dratini,Draco Meteor
Dragonair,Roar Of Time
Dragonite,Roar Of Time
Mega Mewtwo Y,Wonder Room
Mega Mewtwo X,Telekinesis
Mewtwo,Psycho Boost
Mew,Miracle Eye
Chikorita,Solar Beam
Bayleef,Aromatherapy
Meganium,Grass Whistle
Cyndaquil,Eruption
Quilava,G-Max Fireball
Hisuian Typhlosion,Sunny Day
Typhlosion,Blast Burn
Totodile,Sparkling Aria
Croconaw,Water Gun
Feraligatr,Crabhammer
Sentret,Horn Drill
Furret,Play Nice
Hoothoot,G-Max Cuddle
Noctowl,Hold Hands
Ledyba,Fury Cutter
Ledian,Bug Bite
Spinarak,Spider Web
Ariados,Tail Glow
Crobat,Clear Smog
Chinchou,Dive
Lanturn,G-Max Foam Burst
Pichu,Magnet Rise
Cleffa,Max Starfall
Igglybuff,Sweet Scent
Togepi,Light Of Ruin
Togetic,Max Starfall
Natu,Kinesis
Xatu,Guard Swap
Mareep,Charge Beam
Flaaffy,Magnetic Flux
Ampharos,Overdrive
Mega Ampharos,Bolt Beak
Bellossom,Trop Kick
Marill,Rain Dance
Azumarill,Sparkling Aria
Sudowoodo,Ancient Power
Politoed,Razor Shell
Hoppip,Razor Leaf
Skiploom,Grassy Terrain
Jumpluff,Grassy Terrain
Aipom,Nature Power
Sunkern,Leech Seed
Sunflora,Seed Bomb
Yanma,Tail Glow
Wooper,Surf
Quagsire,Aqua Ring
Espeon,Kinesis
Umbreon,Darkest Lariat
Murkrow,Dark Pulse
Slowking,Steam Eruption
Galarian Slowking,Smog
Misdreavus,Shadow Sneak
Unown,Prismatic Laser
Wobbuffet,Speed Swap
Girafarig,Shell Smash
Pineco,String Shot
Forretress,X Scissor
Dunsparce,Egg Bomb
Gligar,Spikes
Steelix,Double Iron Bash
Mega Steelix,Bullet Punch
Snubbull,Guardian Of Alola
Granbull,Misty Terrain
Hisuian Qwilfish,Baddy Bad
Qwilfish,Water Shuriken
Mega Scizor,Steamroller
Scizor,Quiver Dance
Shuckle,Lunge
Heracross,Signal Beam
Mega Heracross,String Shot
Hisuian Sneasel,Poison Powder
Sneasel,Nasty Plot
Teddiursa,Slam
Ursaring,Leer
Slugma,Max Flare
Magcargo,Magma Storm
Swinub,Icicle Crash
Piloswine,Triple Axel
Corsola,Aqua Ring
Galarian Corsola,Nightmare
Remoraid,G-Max Hydrosnipe
Octillery,Rain Dance
Delibird,Freeze Shock
Mantine,Water Gun
Skarmory,Magnet Bomb
Houndour,Fiery Wrath
Houndoom,Parting Shot
Mega Houndoom,Knock Off
Kingdra,Life Dew
Phanpy,Earthquake
Donphan,Sand Tomb
Porygon2,Struggle
Stantler,Milk Drink
Smeargle,Belly Drum
Tyrogue,Cross Chop
Hitmontop,Max Knuckle
Smoochum,Icicle Crash
Elekid,Wild Charge
Magby,Blaze Kick
Miltank,Slack Off
Blissey,Morning Sun
Raikou,Discharge
Entei,Sacred Fire
Suicune,Whirlpool
Larvitar,Rollout
Pupitar,Rock Polish
Mega Tyranitar,Stealth Rock
Tyranitar,Rock Throw
Lugia,Power Split
Ho-oh,Fusion Flare
Celebi,Genesis Supernova
Treecko,Strength Sap
Grovyle,Snap Trap
Mega Sceptile,Solar Blade
Sceptile,Bullet Seed
Torchic,Mind Blown
Combusken,Will O Wisp
Blaziken,Eruption
Mega Blaziken,Eruption
Mudkip,Aqua Tail
Marshtomp,Surf
Mega Swampert,Water Spout
Swampert,Surging Strikes
Poochyena,Throat Chop
Mightyena,Knock Off
Zigzagoon,Revelation Dance
Galarian Zigzagoon,Bite
Linoone,Endure
Galarian Linoone,Torment
Wurmple,Fury Cutter
Silcoon,Infestation
Beautifly,Twineedle
Cascoon,G-Max Befuddle
Dustox,Skitter Smack
Lotad,Origin Pulse
Lombre,Withdraw
Ludicolo,Life Dew
Seedot,Mega Drain
Nuzleaf,Branch Poke
Shiftry,Trop Kick
Taillow,Soft Boiled
Swellow,Happy Hour
Wingull,Water Gun
Pelipper,Sparkling Aria
Ralts,Magic Powder
Kirlia,Psychic
Gardevoir,Heal Pulse
Mega Gardevoir,Stored Power
Surskit,Spider Web
Masquerain,String Shot
Shroomish,Petal Dance
Breloom,Horn Leech
Slakoth,Stomp
Vigoroth,Leer
Slaking,Double Hit
Nincada,Infestation
Ninjask,Heal Order
Shedinja,X Scissor
Whismur,Shell Smash
Loudred,Shell Smash
Exploud,Attract
Makuhita,Meteor Assault
Hariyama,Bulk Up
Azurill,Tri Attack
Nosepass,Rollout
Skitty,Wring Out
Delcatty,Tackle
Mega Sableye,Fiery Wrath
Sableye,Dark Void
Mawile,Heavy Slam
Mega Mawile,Steel Wing
Aron,Gear Grind
Lairon,Bullet Punch
Aggron,Max Steelspike
Mega Aggron,Iron Head
Meditite,Revenge
Medicham,Focus Blast
Mega Medicham,Jump Kick
Electrike,Eerie Impulse
Manectric,Thunder Punch
Mega Manectric,Fusion Bolt
Plusle,Thunder
Minun,Volt Switch
Volbeat,Skitter Smack
Illumise,Signal Beam
Roselia,Max Overgrowth
Gulpin,Acid Armor
Swalot,Shell Side Arm
Carvanha,Aqua Jet
Mega Sharpedo,Surf
Sharpedo,G-Max Cannonade
Wailmer,G-Max Stonesurge
Wailord,Hydro Cannon
Numel,Fusion Flare
Camerupt,Incinerate
Mega Camerupt,Blue Flare
Torkoal,Incinerate
Spoink,Light That Burns The Sky
Grumpig,Kinesis
Spinda,Sing
Trapinch,Bone Club
Vibrava,Earthquake
Flygon,Dig
Cacnea,Snap Trap
Cacturne,Drum Beating
Swablu,Swallow
Altaria,Draco Meteor
Mega Altaria,Twister
Zangoose,Play Nice
Seviper,Acid Armor
Lunatone,Accelerock
Solrock,Smack Down
Barboach,Scald
Whiscash,Aqua Jet
Corphish,G-Max Cannonade
Crawdaunt,Liquidation
Baltoy,Land'S Wrath
Claydol,Drill Run
Lileep,G-Max Volcalith
Cradily,Wide Guard
Anorith,Stealth Rock
Armaldo,Rock Blast
Feebas,Whirlpool
Milotic,Brine
Castform,Smokescreen
Castform Sunny Form,Fire Spin
Castform Rainy Form,G-Max Hydrosnipe
Castform Snowy Form,Max Hailstorm
Kecleon,Revelation Dance
Shuppet,Shadow Force
Mega Banette,Shadow Ball
Banette,Phantom Force
Duskull,Shadow Punch
Dusclops,Shadow Force
Tropius,Grassy Glide
Chimecho,Light Screen
Absol,Power Trip
Mega Absol,Flatter
Wynaut,Guard Swap
Snorunt,Ice Hammer
Mega Glalie,Aurora Veil
Glalie,Sheer Cold
Spheal,Icicle Spear
Sealeo,Ice Ball
Walrein,Ice Shard
Clamperl,Water Spout
Huntail,Soak
Gorebyss,G-Max Cannonade
Relicanth,Soak
Luvdisc,Splishy Splash
Bagon,Dragon Hammer
Shelgon,Dragon Claw
Mega Salamence,Core Enforcer
Salamence,Clanging Scales
Beldum,Magnet Bomb
Metang,Anchor Shot
Mega Metagross,Double Iron Bash
Metagross,Smart Strike
Regirock,Stone Edge
Regice,Ice Punch
Registeel,Meteor Mash
Mega Latias,Dragon Hammer
Latias,Dragon Darts
Latios,Spacial Rend
Mega Latios,Clangorous Soul
Primal Kyogre,Flip Turn
Kyogre,Surf
Primal Groudon,Mud Slap
Groudon,Bonemerang
Mega Rayquaza,Dual Chop
Rayquaza,Roar Of Time
Jirachi,Doom Desire
Deoxys Defense Forme,Power Split
Deoxys Attack Forme,Heart Stamp
Deoxys Normal Forme,Luster Purge
Deoxys Speed Forme,Psycho Boost
Turtwig,Horn Leech
Grotle,Horn Leech
Torterra,Wood Hammer
Chimchar,Flame Burst
Monferno,Ember
Infernape,Mystical Fire
Piplup,Life Dew
Prinplup,Snipe Shot
Empoleon,G-Max Foam Burst
Starly,Shell Smash
Staravia,Judgment
Staraptor,Me First
Bidoof,Endeavor
Bibarel,Body Slam
Kricketot,Fell Stinger
Kricketune,Fury Cutter
Shinx,Stoked Sparksurfer
Luxio,G-Max Stun Shock
Luxray,Max Lightning
Budew,Sappy Seed
Roserade,Leaf Storm
Cranidos,G-Max Volcalith
Rampardos,Ancient Power
Shieldon,Ancient Power
Bastiodon,Smack Down
Burmy Plant Cloak,Bug Bite
Burmy Sandy Cloak,U Turn
Burmy Trash Cloak,Megahorn
Wormadam Plant Cloak,U Turn
Wormadam Sandy Cloak,Bug Buzz
Wormadam Trash Cloak,Skitter Smack
Mothim,X Scissor
Combee,Pin Missile
Vespiquen,Defend Order
Pachirisu,Bolt Strike
Buizel,Bouncy Bubble
Floatzel,Hydro Pump
Cherubi,Grassy Terrain
Cherrim,Grassy Terrain
Shellos,Liquidation
Gastrodon,Hydro Pump
Ambipom,Take Down
Drifloon,Shadow Force
Drifblim,Spectral Thief
Buneary,Transform
Mega Lopunny,Mega Kick
Lopunny,Foresight
Mismagius,Shadow Force
Honchkrow,Sucker Punch
Glameow,Recycle
Purugly,Veevee Volley
Chingling,Role Play
Stunky,Corrosive Gas
Skuntank,Venoshock
Bronzor,Gear Up
Bronzong,Heavy Slam
Bonsly,Rock Blast
Mime Jr.,Photon Geyser
Happiny,Harden
Chatot,Max Guard
Spiritomb,Phantom Force
Gible,Clangorous Soulblaze
Gabite,Core Enforcer
Garchomp,Clangorous Soulblaze
Mega Garchomp,Dragon Claw
Munchlax,Hyper Voice
Riolu,Focus Punch
Mega Lucario,Max Knuckle
Lucario,G-Max Chi Strike
Hippopotas,Earthquake
Hippowdon,Earth Power
Skorupi,Poison Tail
Drapion,Venom Drench
Croagunk,Smog
Toxicroak,Cross Poison
Carnivine,Max Overgrowth
Finneon,Splishy Splash
Lumineon,Water Pulse
Mantyke,Hydro Pump
Snover,Magical Leaf
Abomasnow,Leaf Blade
Mega Abomasnow,Spore
Weavile,Feint Attack
Magnezone,Wild Charge
Lickilicky,Scary Face
Rhyperior,Shore Up
Tangrowth,Spore
Electivire,Magnetic Flux
Magmortar,Heat Wave
Togekiss,Guardian Of Alola
Yanmega,Powder
Leafeon,Cotton Guard
Glaceon,Avalanche
Gliscor,Mud Slap
Mamoswine,Blizzard
Porygon-Z,Body Slam
Gallade,Stored Power
Mega Gallade,Magic Coat
Probopass,G-Max Volcalith
Dusknoir,Soul Stealing 7 Star Strike
Froslass,Sheer Cold
Fan Rotom,Wild Charge
Frost Rotom,Bolt Beak
Wash Rotom,Wild Charge
Heat Rotom,Magnet Rise
Rotom,Plasma Fists
Mow Rotom,Parabolic Charge
Uxie,Psyshock
Mesprit,Future Sight
Azelf,Heal Pulse
Dialga,Magnet Bomb
Dialga Origin Forme,Gear Up
Palkia Origin Forme,Razor Shell
Palkia,Aqua Tail
Heatran,Will O Wisp
Regigigas,Leer
Giratina Origin Forme,G-Max Terror
Giratina Altered Forme,Soul Stealing 7 Star Strike
Cresselia,Psystrike
Phione,G-Max Cannonade
Manaphy,Razor Shell
Darkrai,Dark Pulse
Shaymin Land Forme,Ingrain
Shaymin Sky Forme,Razor Leaf
Arceus,Swagger
Victini,Hyperspace Hole
Snivy,Leech Seed
Servine,Strength Sap
Serperior,Wood Hammer
Tepig,Inferno
Pignite,Fire Blast
Emboar,V Create
Oshawott,Flip Turn
Dewott,Origin Pulse
Samurott,Aqua Ring
Hisuian Samurott,Soak
Patrat,Wrap
Watchog,Crush Grip
Lillipup,Trump Card
Herdier,Attract
Stoutland,Techno Blast
Purrloin,G-Max Snooze
Liepard,Crunch
Pansage,Energy Ball
Simisage,Jungle Healing
Pansear,Incinerate
Simisear,G-Max Fireball
Panpour,Scald
Simipour,Crabhammer
Munna,Light That Burns The Sky
Musharna,Freezing Glare
Pidove,Endeavor
Tranquill,Safeguard
Unfezant,Supersonic
Blitzle,Nuzzle
Zebstrika,Zap Cannon
Roggenrola,G-Max Volcalith
Boldore,Max Rockfall
Gigalith,Stealth Rock
Woobat,Magic Room
Swoobat,Glitzy Glow
Drilbur,Mud Slap
Excadrill,Sand Tomb
Mega Audino,Tail Whip
Audino,Flash
Timburr,Thunderous Kick
Gurdurr,Mach Punch
Conkeldurr,Seismic Toss
Tympole,Sparkling Aria
Palpitoad,Aqua Jet
Seismitoad,Surf
Throh,Dynamic Punch
Sawk,Body Press
Sewaddle,U Turn
Swadloon,Fury Cutter
Leavanny,Silver Wind
Venipede,Spider Web
Whirlipede,String Shot
Scolipede,Pollen Puff
Cottonee,Grass Whistle
Whimsicott,Mega Drain
Petilil,Grassy Glide
Hisuian Lilligant,Stun Spore
Lilligant,G-Max Drum Solo
Basculin White-Striped Form,Bubble Beam
Basculin Blue-Striped Form,Muddy Water
Basculin Red-Striped Form,Sparkling Aria
Sandile,G-Max Sandblast
Krokorok,Bonemerang
Krookodile,Bone Club
Galarian Darumaka,Aurora Beam
Darumaka,Burn Up
Darmanitan Standard Mode,G-Max Wildfire
Darmanitan Galarian Zen Mode,Avalanche
Darmanitan Galarian Standard Mode,Ice Burn
Darmanitan Zen Mode,Fire Punch
Maractus,Cotton Guard
Dwebble,Rage Powder
Crustle,Attack Order
Scraggy,Knock Off
Scrafty,Dark Pulse
Sigilyph,Prismatic Laser
Galarian Yamask,Dig
Yamask,Shadow Force
Cofagrigus,Astral Barrage
Tirtouga,Water Pledge
Carracosta,G-Max Stonesurge
Archen,Wide Guard
Archeops,Power Gem
Trubbish,Baneful Bunker
Garbodor Gigantamax,Sludge Bomb
Garbodor,Coil
Zorua,Punishment
Hisuian Zorua,Skull Bash
Zoroark,Taunt
Hisuian Zoroark,Mimic
Minccino,Spotlight
Cinccino,Crush Claw
Gothita,G-Max Gravitas
Gothorita,Healing Wish
Gothitelle,Luster Purge
Solosis,Heal Block
Duosion,Power Swap
Reuniclus,Synchronoise
Ducklett,Max Geyser
Swanna,Water Spout
Vanillite,Haze
Vanillish,Mist
Vanilluxe,Ice Punch
Deerling,Focus Energy
Sawsbuck,Wring Out
Emolga,Bolt Beak
Karrablast,Heal Order
Escavalier,Silver Wind
Foongus,Grassy Terrain
Amoonguss,Jungle Healing
Frillish,Liquidation
Jellicent,Scald
Alomomola,Aqua Ring
Joltik,Twineedle
Galvantula,Pollen Puff
Ferroseed,Strength Sap
Ferrothorn,Grassy Glide
Klink,Iron Head
Klang,G-Max Meltdown
Klinklang,King'S Shield
Tynamo,Zap Cannon
Eelektrik,Magnet Rise
Eelektross,Bolt Beak
Elgyem,Dream Eater
Beheeyem,Healing Wish
Litwick,Destiny Bond
Lampent,Menacing Moonraze Maelstrom
Chandelure,Shadow Claw
Axew,Dragon Pulse
Fraxure,Dragon Breath
Haxorus,Dragon Rush
Cubchoo,Ice Punch
Beartic,Hail
Cryogonal,Freeze Dry
Shelmet,String Shot
Accelgor,Max Flutterby
Stunfisk,Bonemerang
Galarian Stunfisk,Rototiller
Mienfoo,Circle Throw
Mienshao,Mach Punch
Druddigon,Eternabeam
Golett,Thousand Arrows
Golurk,Mud Slap
Pawniard,Crunch
Bisharp,Memento
Bouffalant,Slack Off
Rufflet,Focus Energy
Hisuian Braviary,Power Swap
Braviary,Mega Kick
Vullaby,Hone Claws
Mandibuzz,Darkest Lariat
Heatmor,Sunny Day
Durant,G-Max Befuddle
Deino,Payback
Zweilous,Night Slash
Hydreigon,Dark Void
Larvesta,Megahorn
Volcarona,Skitter Smack
Cobalion,Metal Sound
Terrakion,Power Gem
Virizion,G-Max Vine Lash
Tornadus Incarnate Forme,Air Cutter
Tornadus Therian Forme,Oblivion Wing
Thundurus Therian Forme,Bolt Beak
Thundurus Incarnate Forme,Thunder Shock
Reshiram,Twister
Zekrom,Outrage
Landorus Incarnate Forme,Mud Bomb
Landorus Therian Forme,G-Max Sandblast
Kyurem,Draco Meteor
Black Kyurem,Roar Of Time
White Kyurem,Dragon Claw
Keldeo Resolute Form,Bouncy Bubble
Keldeo Ordinary Form,Withdraw
Meloetta Pirouette Forme,False Swipe
Meloetta Aria Forme,Leer
Genesect,Defend Order
Chespin,Seed Flare
Quilladin,Giga Drain
Chesnaught,Trop Kick
Fennekin,Max Flare
Braixen,Flame Burst
Delphox,Burning Jealousy
Froakie,Octazooka
Frogadier,G-Max Stonesurge
Greninja,Bouncy Bubble
Ash-Greninja,Water Pledge
Bunnelby,Natural Gift
Diggersby,Stockpile
Fletchling,Hold Back
Fletchinder,V Create
Talonflame,V Create
Scatterbug,Powder
Spewpa,Rage Powder
Vivillon,Silver Wind
Litleo,Fire Lash
Pyroar,Will O Wisp
Flabébé,Floral Healing
Floette,Guardian Of Alola
Florges,Play Rough
Skiddo,Seed Bomb
Gogoat,Branch Poke
Pancham,Drain Punch
Pangoro,Body Press
Furfrou,G-Max Replenish
Espurr,Psycho Boost
Meowstic Female,Psyshock
Meowstic Male,Telekinesis
Honedge,Behemoth Bash
Doublade,Anchor Shot
Aegislash Blade Forme,Behemoth Blade
Aegislash Shield Forme,Steel Wing
Spritzee,G-Max Finale
Aromatisse,Guardian Of Alola
Swirlix,Decorate
Slurpuff,Fleur Cannon
Inkay,Fling
Malamar,Max Darkness
Binacle,Rock Tomb
Barbaracle,Rock Blast
Skrelp,Poison Gas
Dragalge,Toxic Thread
